"특성별(1)","특성별(2)","교육 내용","교육 내용","교육 내용","교육 내용","교육 내용","교육 내용","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교우 관계","교우 관계","교우 관계","교우 관계","교우 관계","교우 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교 주변 환경","학교 주변 환경","학교 주변 환경","학교 주변 환경","학교 주변 환경","학교 주변 환경","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활"
"성별","여자","11.6","37.4","41.7","7.1","2.2","3.5","10.4","32.4","44.8","10.6","1.8","3.4","29.5","38.5","29.5","2","0.4","4","17.1","34.5","43.4","3.8","1.1","3.6","12.1","27.3","41.2","16","3.3","3.3","9.9","25.8","41.1","18.3","4.9","3.2","9","24.9","47.6","15.3","3.3","3.2","10.8","29","48.4","9","2.8","3.4","14","34.2","46.2","4.9","0.7","3.6"
"연령별","13~19세","13.2","34.2","42.8","7.8","1.9","3.5","12.3","31.4","43.9","10","2.3","3.4","28.7","40.1","28.6","1.9","0.7","3.9","17.9","34.4","42","4.3","1.4","3.6","12.2","27.3","43","14.1","3.4","3.3","10.5","25","43.4","16.6","4.4","3.2","9.6","23.8","48.3","14.3","4.1","3.2","9.9","23.1","51.1","12.4","3.5","3.2","15.5","32.3","46.7","4.7","0.8","3.6"
"연령별","20~29세","10.5","38.4","43.4","5.2","2.5","3.5","8.5","32.9","48.1","8.8","1.8","3.4","22.7","36.1","37.4","3.1","0.7","3.8","10.5","33.9","48.5","6.3","0.8","3.5","10.2","27.4","47.3","12.9","2.2","3.3","9.6","24.5","45.5","15.7","4.7","3.2","8.6","27.1","48.3","14","2","3.3","9.8","33.3","46.9","8.4","1.6","3.4","10.1","36.2","48.5","4.4","0.8","3.5"
"연령별","30~39세","10.7","45.8","43.5","0","0","3.7","10.7","17.5","71.8","0","0","3.4","21.3","41.8","36.9","0","0","3.8","10.7","46.7","42.6","0","0","3.7","0","38.8","54.8","6.4","0","3.3","10.7","17.5","54.8","17","0","3.2","10.7","17.5","65.4","6.4","0","3.3","10.7","17.5","48.3","17","6.6","3.1","10.7","30.3","52.6","6.4","0","3.5"
"학력별","초졸이하","17.2","32","42.5","6.4","1.8","3.6","16","30.6","42","8.9","2.6","3.5","31","41.1","24.7","2.2","1","4","22.4","34.4","36.8","4.9","1.5","3.7","14.1","29.6","39.4","14.5","2.4","3.4","13.1","26.3","41.3","15.8","3.5","3.3","10.2","24.4","47.6","14.4","3.4","3.2","0","0","0","0","0","0","19.1","34.8","41.2","3.6","1.3","3.7"
"학력별","중졸","9.8","34.3","45.1","8.6","2.3","3.4","9.8","29.4","47.7","10.8","2.3","3.3","27.8","38.3","32.1","1.2","0.6","3.9","15.5","34.3","44.9","3.8","1.5","3.6","11.3","23.7","45.9","14.4","4.7","3.2","9","22.9","44.3","18.4","5.4","3.1","8.7","20.6","50.8","14.8","5.1","3.1","8.6","20.6","52.9","13.6","4.3","3.2","14.2","28.3","51.6","5.3","0.6","3.5"
"학력별","고졸","11.5","38.3","41.9","6.2","2.2","3.5","9.2","34.2","45.6","9.2","1.8","3.4","23.6","37.9","34.6","3.3","0.6","3.8","11.4","33.6","48.4","5.8","0.8","3.5","10.2","28.6","46.2","13","1.9","3.3","9.6","25.4","45.7","14.8","4.5","3.2","9","28.2","47.1","13.6","2.1","3.3","10.2","32","47.8","8.4","1.6","3.4","10.3","36.4","48","4.6","0.7","3.5"
"학력별","대졸이상","9.1","51.4","39.5","0","0","3.7","8.4","33.7","54.9","3","0","3.5","17.6","39.1","43.2","0","0","3.7","10.7","50.4","34.5","4.4","0","3.7","5.1","37.3","50.1","4.4","3","3.4","5.1","24.2","50.6","20.1","0","3.1","11.1","26.5","52.3","10.1","0","3.4","18.7","35.2","27.8","15.2","3.2","3.5","8.7","44.2","42.7","4.4","0","3.6"
"직업별","학생","12.3","35.7","43","6.9","2.1","3.5","11.1","31.7","45.6","9.5","2.1","3.4","26.7","38.8","31.5","2.3","0.7","3.9","15.4","34.4","44.1","4.9","1.2","3.6","11.4","27.5","44.5","13.6","3","3.3","10.2","24.8","44.2","16.3","4.4","3.2","9.3","24.8","48.5","14.1","3.4","3.2","9.9","27.7","49.2","10.6","2.7","3.3","13.7","33.5","47.3","4.6","0.8","3.6"
"월평균소득별","100만원 미만","14.7","29.1","48.8","4.6","2.9","3.5","10.5","34.5","43.5","9.9","1.5","3.4","24.5","41","30.4","4.1","0","3.9","12.8","36.2","40.5","10.4","0","3.5","9.1","26.7","46.2","16.7","1.3","3.3","10","27.5","46.5","13.1","2.9","3.3","13","29.2","42.1","14.5","1.3","3.4","13.1","31.8","39.9","10.4","4.8","3.4","14.3","29.4","51.6","4.7","0","3.5"
